method,snr_db,snr_lo,snr_hi,auc,pd_at_pfa
"bistable, no added noise (D = 0.02)",19.584324511121693,19.21320338555661,19.771614772713004,1.0,1.0
"threshold detector, no added noise (theta = 1)",30.739280560991094,30.567218737076093,30.926715166124,0.939472,0.724
linear band-pass on the raw input,41.60163697376908,41.507157403025346,41.897708785239054,1.0,1.0
SR at the optimal D = 0.125,27.986231379784044,27.82113804136515,28.33084484980571,0.77854,0.32
parameter-tuned SR (a = b = 0.78),25.786618151587774,25.590322119151875,26.060116042949286,0.980048,0.998
